reading	hanri	priority	corrected
# implicit-tone-overrides (single Hangul-only hanri rows used when the typed form has no tone mark)			
갗	갗	1	
뎋	뎋	1	
캏	캏	1	
릐2	릐ˋ	1	
꽈2	꽈ˋ	1	
이5	이ˉ	1	
꾼2	꾼ˋ	1	
꽌2	꽌ˋ	1	
란2	란ˋ	1	
린2	린ˋ	1	
인5	인ˉ	1	
아5	아ˉ	1	
곻	곻	1	
낫2	낫ˋ	1	
렁2	렁ˋ	1	
빼2	빼ˋ	1	
뻐2	뻐ˋ	1	
뽀4	뽀ˊ	1	
뾔5	뾔ˉ	1	
쉬2	쉬ˋ	2	
시5	시ˉ	1	
허5	허ˉ	1	
짖	짖	1	
쟟	쟟	1	
쟈1	쟈ˆ	1	
힏	힏	1	
햐1	햐ˆ	1	
애	애	1	
매	매	1	
얓	얓	1	
감2	감ˋ	1	
가2	가ˋ	1	
제1	제ˆ	1	
쟣	쟣	1	
에당	에당	1	
뾔당	뾔당	1	
렁1정2	렁ˆ總	1	
안1니1	안ˆ니ˆ	1	
안1네1	안ˆ네ˆ	1	
쟟1니5	쟟ˆ니ˉ	1	
햫	햫	1	
햫1니5	햫ˆ니ˉ	1	
헤1	헤ˆ	1	
0	0	1	컹
1	1	1	짇1
2	2	1	띠5
3	3	1	살1
4	4	1	시
5	5	1	꺼5
6	6	1	락1
7	7	1	칟
8	8	1	뵣
9	9	1	ᄀᅷ2
’꽈	’꽈	1	
’됴	’됴	1	
’둏	’둏	1	
’래	’래	1	
’릐	’릐	1	
’ᄅᆤ2	’ᄅᆤ	1	
’ᄅᆤ2	’ᄅᆤˋ	2	
’뽀4	’뽀ˊ	1	
’에	’에	1	
’이	’이	1	
’킈	’킈	1	
가1	家	2	
가5기5	家己	1	
가5끼5	嘉義	1	
가5덩1	加東	1	
가5도1	鉸刀	1	
가5ᄉᅷ	咳嗽	1	
가5야1	가ˉ야ˆ	1	
가5야5또디1	가ˉ야ˉ또디ˆ	1	
각1딛	覺得	1	
간1	艱	1	
간5커2	艱苦	1	
감1	甘	2	
감1각	感覺	1	
강1	工	1	
개1볜	改變	1	
개2	改	1	
걀1	驚	1	
걀1	京	4	
걀1띠4	囝兒	1	
걀2	囝	3	
걀4	行	2	
걀5랑4	驚人	1	
걀5랑ᄐᅷ1	驚人偷	1	
걈4	鹹	1	
걈서5괴1	鹹酥雞	1	
거	顧	1	
거1	孤	1	
거2랑완	顧人怨	1	
거2수5	故事	1	
거4	糊	1	
거5돨1	孤單	1	
걱	國	1	
걱	國	1	
걱1가1	國家	1	
걱1립1	國立	1	
걱1제	國際	1	
걱1제2기5듈4	國際機場	1	
걱1후5	國父	1	
겅1	光	2	
겅1	公	1	
겅1웨5	講話	1	
겅1후1랑4	廣府人	1	
겅1후1웨5	廣府話	1	
겅1후2	廣府	1	
겅2	講	1	
겅5마2	公媽	1	
겅5시1	公司	1	
겅5주2	公主	1	
겅5흥4	公園	1	
게	嫁	2	
게1	家	1	
게2ᄀᅷ	計較	1	
게5보4	家婆	1	
게5ᄋᅷ5	家後	1	
경4	強	1	
경5	共	1	
곈5치4	堅持	1	
곋1훈1	結婚	1	
곙1	經	1	
곙2	境	1	
고5뎡1	高中	1	
고5비1	고ˉ비ˆ	1	
고5비5댬5	고ˉ비ˉ店	1	
고5형4	高雄	1	
과1	歌	1	
과2	寡	1	
관2	館	1	
괄4	寒	2	
괄5	汗	1	
괘	怪	1	
괠4	懸	1	
괠5	縣	1	
괴1	雞	1	
괴5능5	雞卵	1	
괴5빻	雞肉	1	
교	叫	1	
구1	龜	1	
구5	舅	1	
궤	過	1	
궤1ᄃᆤ4	粿條	1	
궤2	粿	1	
긍1	光	1	
긍1당1	廣東	1	
긍1당5랑4	廣東人	1	
긍1당5웨5	廣東話	1	
긍5얄2얄	光映映	1	
기	記	1	
기1	機	3	
기2럄5	紀念	1	
기2럄관2	紀念館	1	
기4	其	1	
기5듈4	機場	1	
기5챠1	機車	1	
기싣1	其實	1	
긴2	緊	1	
긴5띧1	今日	1	
긴5아1띧1	今仔日	1	
길5장	鹼粽	1	
김1	金	1	
김5믕4	金門	1	
ᄀᅷ	到	1	
ᄀᅷ	夠	2	
ᄀᅷ1밯	九百	1	
ᄀᅷ1새2	狗屎	1	
ᄀᅷ1잡1	九十	1	
ᄀᅷ2	狗	4	
ᄀᅷ2	九	3	
ᄀᅷ2역1	教育	1	
ᄀᅷ2역버5	教育部	1	
ᄀᅷ4	猴	1	
ᄀᅷ5텅1	交通	1	
깍1	樂	1	
꺼5	五	1	
꺼밯	五百	1	
꺼잡1	五十	1	
께5	藝	1	
께숟1	藝術	1	
꼔뿐4	諺文	1	
꼬4	鵝	1	
꼬빻	鵝肉	1	
꽌래4	原來	1	
꽏대4	月台	1	
꾸1꼔4	語言	1	
꾸2	語	1	
꾸4	牛	1	
꾸니1	牛奶	1	
꾸덤4	牛丼	1	
꾸롕1	牛奶	1	
꾸빻	牛肉	1	
꾸챠5쥐2	牛車水	1	
뀋1	月	1	
꾼4	銀	1	
끤4	銀	1	
끼5	義	1	
끼란4	宜蘭	1	
끼순5	義順	1	
냐4	娘	1	
뉴4	娘	1	
뉴5	讓	2	
뉴뉴4	娘娘	1	
능2	軟	3	
능5	兩	1	
능5	卵	2	
능랑4	兩人	1	
능밯1커1	兩百箍	1	
능빤커1	兩萬箍	1	
능에4	兩个	1	
능잡1*	二十	1	띠잡1
능잡커1*	二十箍	1	띠잡커1
능쳰5커1*	兩千箍	1	능촁5커1
능촁5커1	兩千箍	1	
니1	奶	1	
니4	年	1	
ᄂᆤ1	貓	1	
ᄂᆤ1츼2	鳥鼠	1	
다1	焦	1	
다5컥1컥	焦컥ˆ컥	1	
닥게1	逐家	1	
단1태5	等待	1	
단2	等	1	
단4	陳	2	
달2	膽	1	
담1한4	膽寒	1	
담5	淡	1	
담쥐1호4	淡水河	1	
담쥐2	淡水	1	
당	當	2	
당1	東	1	
당1	當	3	
당1	冬	4	
당5	重	1	
당5걀1	東京	1	
당5람4	東南	1	
당5람새5박	東南西北	1	
당5람아1	東南亞	1	
당5새5람박	東西南北	1	
당5아1	東亞	1	
당왈1	同安	1	
닿1	踏	1	
닿1	踏	1	
대뎡1	台中	1	
대람4	台南	1	
대박	台北	1	
대박1챠5잠5	台北車站	1	
대박1챠5ᄐᅷ4	台北車頭	1	
대박1치5	台北市	1	
대박1치졩2후2	台北市政府	1	
대완4	台灣	1	
대완랑4	台灣人	1	
대완웨5	台灣話	1	
댤5	定	1	
댤댤5	定定	1	
댬1졩1	點鐘	1	
댬2	點	1	
더1	都	1	
더5	都	1	
더치5	都市	1	
덤4	丼	1	
덩	當	2	
덩1	當	1	
덩1	東	3	
덩1완4	黨員	1	
덩2솬2	當選	1	
덩5뗸4	當然	1	
덩5처1	當初	1	
데1데2	短短	1	
데2	短	2	
데4	茶	1	
데5	地	3	
데5	第	1	
데띠5	第二	1	
데살1	第三	1	
데읻	第一	1	
데읻1뎽2	第一等	1	
뎔톼	長泰	1	
뎡1	中	1	
뎡5걱	中國	1	
뎡5걱1랑4	中國人	1	
뎡5산1	中山	1	
뎡5옿1	中學	1	
뎡5화4	中華	1	
뎡신1	重新	1	
뎡ᄋᆤ	重要	1	
뎬5	電	1	
뎬ᄂᅷ2	電腦	1	
뎬시5	電視	1	
뎬시기1	電視機	1	
뎬얄2	電影	1	
뎬웨5	電話	1	
뎬훼2	電火	1	
뎽1	燈	1	
뎽2	等	3	
뎽2	頂	2	
뎽5긍1	燈光	1	
도1	刀	1	
도1위5	도ˆ위ˉ	1	
도리2	道理	1	
돟	桌	1	
돠5	大	1	
돠랑4	大人	1	
돠바5요4	大巴窯	1	
돠샬1	大聲	1	
돠쇠2샬1	大細聲	1	
돠옿1	大學	1	
돨1	單	1	
되5	地	1	
됴솰2웨5	潮汕話	1	
됴쥬1	潮州	1	
됴쥬5웨5	潮州話	1	
둏1	著	1	
뒈	綴	1	
뒈2랑ᄌᅷ2	綴人走	1	
뒤	對	1	
듀ᄎᅷ1랑4	稻草人	1	
듀ᄎᅷ2	稻草	1	
듈톼	長泰	1	
등	當	2	
등1	當	1	
등1추	轉厝	1	
등2	轉	1	
등2’래	轉’래	1	
등2’킈	轉’킈	1	
등4	唐	1	
등랑4	唐人	1	
등랑웨5	唐人話	1	
등솰1	唐山	1	
듸1	豬	1	
듸5빻	豬肉	1	
디5	弟	1	
딜1	甜	1	
딜5궤2	甜粿	1	
ᄃᅷ	鬥	1	
ᄃᅷ2되2	到底	1	
ᄃᅷ2딘5	鬥陣	1	
ᄃᅷ5	豆	1	
ᄃᅷ장	豆粽	1	
ᄃᅷ후5	豆腐	1	
ᄃᅷ훼1	豆花	1	
ᄃᅷ훼5쥐2	豆花水	1	
ᄃᆤ4	條	1	
ᄃힻ1ᄃힻ2	短短	1	
ᄃힻ2	短	1	
뗸4	然	1	
또디1	또디ˆ	1	
뙇1	熱	1	
뚜4	如	1	
띠5	二	1	
띠5	字	1	
띠잡1	二十	1	
띠잡커1	二十箍	1	
띤삔4	人民	1	
띤솅1	人生	1	
띤수5	人事	2	
띤심1	人參	3	
띤졩4	人情	1	
띧1	日	1	
띧1	日	1	
띧1’시	日’시	1	
띧분1랑4	日本人	1	
띧분2	日本	1	
띱1	入	1	
띱ᄏᅷ2	入口	1	
락1	六	1	
락밯	六百	1	
락잡1	六十	1	
란고	難過	1	
람4	南	1	
람왈1	南安	1	
람율4	南洋	1	
랑4	人	1	
랑4	聾	2	
랑4	人	1	
랑5	弄	3	
래4	來	1	
래5	內	2	
럄5	念	1	
럄곙1	念經	1	
러1롁1	努力	1	
러2	魯	2	
러5	路	1	
러5	露	3	
러영5	路用	1	
러옝5	路用	1	
럭1	樂	1	
럭강2	鹿港	1	
럭폑	落魄	1	
렁5	浪	1	
렁주2	浪子	1	
레1ᄆᅷ5	禮貌	1	
레2	禮	1	
령1겅1	兩光	1	
령4	龍	1	
령심1	良心	1	
령해2	龍海	1	
롁데4	綠茶	1	
롇챠1	列車	1	
롕1	奶	1	
롕1담5	冷淡	1	
롕1롕2	冷冷	1	
롕1키	冷氣	1	
롕2	冷	1	
롕4	龍	1	
로소1	囉嗦	1	
롷1	落	1	
롷허5	落雨	1	
롼겅2	亂講	1	
롼래4	亂來	1	
롼졩4	戀情	1	
릐1호2	릐ˆ호ˋ	1	
리1강1	理工	1	
리1셩2	理想	1	
리1호2*	릐ˆ호ˋ	1	릐1호2
리2	理	1	
림1	飲	1	
림1’롷킈	飲’롷킈	1	
림5데4	飲茶	1	
림5쥐2	飲水	1	
림5쥬2	飲酒	1	
림5틍1	飲湯	1	
림추2강2	林厝港	1	
ᄅᅷ	漏	3	
ᄅᅷ2퀴	漏氣	1	
ᄅᅷ4	流	1	
ᄅᅷ4	樓	1	
ᄅᅷ5	老	2	
ᄅᅷᄀᅷ4	老猴	1	
ᄅᅷ베5	老爸	1	
ᄅᅷ뿌2	老母	1	
ᄅᅷ컥1컥	老컥ˆ컥	1	
ᄅᆤ1개2	了解	1	
마1래세5아1	馬來西亞	1	
마1래세5아5랑4	馬來西亞人	1	
마1저2	媽祖	1	
마2	馬	1	
마2	媽	1	
매5로1	매ˉ로ˆ	1	
먀5	命	1	
메4’시	暝’시	1	
메5끼1	메ˉ끼ˆ	1	
메5끼5미5	메ˉ끼ˉ麵	1	
뭬5	妹	1	
뮈1띧1	每日	1	
믕4	門	1	
믕4	毛	3	
믕5	問	1	
미4’시	暝’시	1	
미5	麵	1	
미걀2	麵囝	1	
미봏1	麵薄	1	
미솰	麵線	1	
미솰2거4	麵線糊	1	
바5삳	巴剎	1	
박	腹	1	
박	北	1	
박1걀1	北京	1	
박1더2	腹肚	1	
박1래5	腹內	1	
반1	班	1	
반5기1	班機	1	
받랑4	別人	1	
방	放	1	
방2강1	放工	1	
방2새2	放屎	1	
밯	百	1	
밯1커1	百箍	1	
뱔	拚	2	
뱔2	餅	1	
버5	步	1	
벻1	白	1	
벻틍4	白糖	1	
벻틍궤2	白糖粿	1	
볜	變	1	
볜덩1	便當	1	
볭4	朋	2	
볭4	平	1	
볭셩4	平常	1	
볭유2	朋友	1	
보	報	1	
보2	寶	2	
보2좌2	報紙	1	
보4	婆	1	
보5되2	坡底	1	
보5레4	玻璃	1	
보5레붸1	玻璃杯	1	
봏1	薄	1	
봘4	盤	1	
봫1	跋	1	
봫붸1	跋杯	1	
뵣	八	1	
뵣1밯	八百	1	
뵣1잡1	八十	1	
분1	分	1	
분2	本	1	
붸1	杯	1	
붸1	飛	1	
붸4	陪	2	
붸5기1	飛機	1	
뷔4	肥	1	
븡5	飯	1	
비1새	比賽	1	
비2	比	1	
빈덩1	屏東	1	
빌1	邊	1	
빟	鱉	1	
ᄇᅷ1	包	1	
빡1	目	1	
빡새2	目滓	1	
빡쥬1	目睭	1	
빤4	閩	3	
빤5	萬	2	
빤5	慢	1	
빤꾸2	閩語	1	
빤람4	閩南	1	
빤람꾸2	閩南語	1	
빤졘5궤2	曼煎粿	1	
빤커1	萬箍	1	
빵1갛	艋舺	1	
빵5	夢	1	
빻	肉	1	
빻1장	肉粽	1	
빻1초	肉脞	1	
빻1초2미5	肉脞麵	1	
빻1테2	肉體	1	
뻑뎩1	目的	1	
뻥4	茫	1	
뻬2	馬	1	
뻬4	迷	1	
뻬5	妹	1	
뻬랑4	迷人	1	
뼇	欲	1	
뼨2	免	1	
뼹4	明	1	
뼹뼹4	明明	1	
뽀얄2	뽀影	1	
뽀ᄋᆤ2긴2	뽀要緊	1	
뽀찹	뽀插	1	
뾔1표	買票	1	
뾔2	買	1	
뾔5	賣	2	
뾔ᄋᆤ2긴2	뾔要緊	1	
뾔표	賣票	2	
뾧1표	買票	1	
뾧2	買	1	
뾰2	秒	1	
뿌2	母	1	
뿐4	文	1	
뿐띠5	文字	1	
뿐레2	文禮	1	
쀄2	尾	1	
쀄5	未	1	
삐1걱	美國	1	
삐1걱1랑4	美國人	1	
삐1세2개	美世界	1	
삐1훈1궤2	米粉粿	1	
삐1훈1틍1	米粉湯	1	
삐1훈2	米粉	1	
삐2	米	1	
삐2	美	2	
삐래4	未來	1	
삔4	民	2	
삔5	面	1	
삗1	蜜	1	
산2버5	散步	1	
살1	三	1	
살1	衫	2	
살5밯	三百	1	
살5잡1	三十	1	
살5훈1	三分	1	
새1	西	1	
새1챠1	駛車	1	
새2	屎	2	
새2	駛	3	
샬1	聲	1	
샬1밓1	샬ˆ밓ˆ	1	
샬5임1	聲音	1	
샴1샴1싷	閃閃爍	1	
샴1샴1싷1싷	閃閃爍爍	1	
샴1싷	閃爍	1	
서1	酥	2	
서1이2	所以	1	
서1잇2	所以	1	
서2	所	1	
섬5뻥5	森妄	1	
성	喪	2	
성2	爽	1	
성2달2	喪膽	1	
세	世	1	
세1	西	2	
세2간1	世間	1	
세2개	世界	2	
세2수5	世事	1	
세5율4	西洋	1	
셀1	生	1	
셀5띧1	生日	1	
셀5시2	生死	1	
셜5	想	2	
셩	相	5	
셩1	傷	2	
셩1	相	4	
셩2필	相片	1	
셩4	常	3	
셩5	上	1	
셩5신	相信	1	
셩5훈4	傷痕	1	
셩안1	翔安	1	
셱	色	1	
셱1	熟	1	
셱1띧1	昔日	1	
셱새5	熟似	1	
솅1	先	1	
솅5리2	生理	1	
솅5왛1	生活	1	
솅강2	盛港	1	
솅겅1	成功	1	
솬1뎩1	選擇	1	
솬1쿠1	選區	1	
솬1표	選票	1	
솬2	選	1	
솰	傘	2	
솰	線	1	
솰1	山	1	
솰2ᄐᅷ4	汕頭	1	
솰5구1	山龜	1	
솰5뎽2	山頂	1	
쇠	細	1	
쇠2샬1	細聲	1	
쇼1	相	2	
쇼1	燒	1	
쇼1디5	小弟	1	
쇼1뭬5	小妹	1	
쇼1뻬5	小妹	1	
쇼1옿1	小學	1	
쇼2	小	1	
쇼5쇼1	燒燒	1	
숗	惜	1	
숗1볟1	惜別	1	
수1뗸4	使然	1	
수2	駛	3	
수2	使	2	
수5	事	1	
수5럄5	思念	1	
수5ᄋᆤ	需要	1	
순5	順	1	
순5뎡5산1	孫中山	1	
숟1	術	1	
슈쥐2	泅水	1	
슈키	受氣	1	
슐5	想	1	
슐뼇	想欲	1	
승	算	3	
승1	酸	1	
승2	耍	2	
승2ᄉᆤ	算數	1	
싀돠5	序大	1	
싀돠랑4	序大人	1	
시	四	3	
시2	死	4	
시2밯	四百	1	
시2잡1	四十	1	
시4	時	2	
시간1	時間	1	
시졩1	時鐘	1	
시준5	時陣	1	
신	信	3	
신1	身	2	
신1	新	1	
신5가5보1	新加坡	1	
신5가5보5랑4	新加坡人	1	
신5가5포1*	新加坡	1	신5가5보1
신5뎩	新竹	1	
신5부5	新婦	1	
신5빌1	身邊	1	
신5뿐4	新聞	1	
신5쿠1	身軀	1	
신5테2	身體	1	
싣	失	2	
싣1	實	1	
싣1지	失志	1	
싣1킈	失去	1	
실1	生	1	
심1	心	1	
심1밓1	심ˆ밓ˆ	1	
심5괄1	心肝	1	
괄1	肝	1	
심5애	心愛	1	
심5이	心意	1	
ᄉᅷ	掃	1	
ᄉᆤ	數	2	
ᄉᆤ2	痟	1	
ᄉᆤ2럄5	數念	1	
ᄉᆤ2롄4	少年	1	
아2	啞	1	
아5겅1	阿公	1	
아5구5	阿舅	1	
아5냐4	阿娘	1	
아5마2	阿媽	1	
아5보4	阿婆	1	
아5뿌2	阿母	1	
아5뿌2	阿母	1	
아5이4	阿姨	1	
아5저2	阿祖	1	
아5졕	阿叔	1	
아5지2	阿姊	1	
아5햘1	阿兄	1	
안1	安	1	
안5쾨1	安溪	1	
암	暗	1	
암2메4	暗暝	2	
암2미4	暗暝	1	
암2소소4	暗趖趖	1	
암2시4	暗時	1	
암2안1	暗安	1	
앙4	紅	1	
앙구5궤2	紅龜粿	1	
앙데4	紅茶	1	
앙ᄃᅷ5	紅豆	1	
앙머4	紅毛	1	
앙머교4	紅毛橋	1	
앙솰1	紅山	1	
앟	鴨	1	
앟1빻	鴨肉	1	
애	愛	2	
애2띤4	愛人	1	
애2졩4	愛情	1	
야5	夜	1	
야더치5	夜都市	1	
얄2	影	1	
얌4	鹽	1	
어1	烏	1	
어2	挖	2	
어4	胡	3	
어5령4	烏龍	1	
어5령데4	烏龍茶	1	
어5벻1	烏白	1	
어5벻겅2	烏白講	1	
어5임1	烏陰	1	
어진2덩1	胡震東	1	
엉1수5	往事	1	
엉1엉2	往往	1	
엉2	往	1	
엉4	王	1	
엉주2	王子	1	
엉허5	王后	1	
에4	个	1	
에5	下	2	
에5	下	1	
에믕4	廈門	1	
에흥1	下昏	1	
영1키	勇氣	1	
영2	勇	2	
영5	用	1	
옌ᄃᅷ4	緣投	1	
옝1완2	永遠	1	
옝1춘1	永春	1	
옝5	用	1	
옝5걱	英國	1	
옿1	學	1	
완	怨	1	
완2키	怨氣	1	
완2탄	怨嘆	1	
완탄1	雲吞	1	
완탄5미5	雲吞麵	1	
왇람4	越南	1	
왇람랑4	越南人	1	
왈	晏	1	
왈1궤2	碗粿	1	
왈2	碗	1	
왈2ᄀᅷ	晏到	1	
왛1	活	1	
외2	矮	1	
외4	鞋	1	
우5	譽	1	
우시4	우時	1	
우얄2	우影	1	
우얄2’뽀4	우影’뽀ˊ	1	
운5	運	1	
운덩5	運動	1	
욷1줃	鬱卒	1	
웨5	話	1	
위5	為	1	
유1	憂	2	
유1ᄒᅷ	有孝	1	
유2	友	1	
유2미5	幼麵	1	
유4	油	1	
유5셩1	憂傷	1	
유ᄀᅷ	油垢	1	
유ᄀᅷ2ᄀᅷ	油垢垢	1	
유ᄀᅷ2삐5	油垢味	1	
유디4	油池	1	
율4	羊	1	
율4	洋	2	
음둏1	음著	1	
음시5	음시ˉ	1	
응4	黃	1	
이	意	2	
이1곙1	已經	1	
이1ᄅᆤ4	椅條	1	
이2끼5	意義	1	
이2수	意思	1	
이4	姨	3	
인2	引	1	
인2더5	印度	1	
인2더랑4	印度人	1	
인5위5	因為	1	
읻	一	2	
읻1뎽2	一等	1	
읻1뎽5	一定	1	
읻1솅1	一生	1	
임1	音	1	
임1	陰	1	
임5깍1	音樂	1	
ᄋᅷ5	後	1	
ᄋᅷ강2	後港	1	
ᄋᅷ붸2	後尾	1	
ᄋᆤ2긴2	要緊	1	
자1키2	早起	1	
자2	早	1	
자5뻐2	자ˉ뻐ˋ	1	
잔1	曾	1	
잔4	層	1	
